Date,Close
3/3/2015 16:00:00,9.67
3/4/2015 16:00:00,10.01
3/5/2015 16:00:00,10
3/6/2015 16:00:00,10.04
3/9/2015 16:00:00,10.21
3/10/2015 16:00:00,10.16
3/11/2015 16:00:00,9.87
3/12/2015 16:00:00,9.92
3/13/2015 16:00:00,10.18
3/16/2015 16:00:00,10.27
3/17/2015 16:00:00,10.23
3/18/2015 16:00:00,10.28
3/19/2015 16:00:00,10.2
3/20/2015 16:00:00,10.23
3/23/2015 16:00:00,10.34
3/24/2015 16:00:00,10.23
3/25/2015 16:00:00,9.95
3/26/2015 16:00:00,9.7
3/27/2015 16:00:00,9.59
3/30/2015 16:00:00,9.42
3/31/2015 16:00:00,9.49
4/1/2015 16:00:00,9.45
4/2/2015 16:00:00,9.55
4/6/2015 16:00:00,9.59
4/7/2015 16:00:00,9.49
4/8/2015 16:00:00,9.68
4/9/2015 16:00:00,10
4/10/2015 16:00:00,10.1
4/13/2015 16:00:00,10.11
4/14/2015 16:00:00,10.1
4/15/2015 16:00:00,10.22
4/16/2015 16:00:00,10.24
4/17/2015 16:00:00,9.91
4/20/2015 16:00:00,10.08
4/21/2015 16:00:00,10.02
4/22/2015 16:00:00,10.06
4/23/2015 16:00:00,10.08
4/24/2015 16:00:00,10.18
4/27/2015 16:00:00,10.07
4/28/2015 16:00:00,10.1
4/29/2015 16:00:00,9.83
4/30/2015 16:00:00,9.64
5/1/2015 16:00:00,9.79
5/4/2015 16:00:00,10.03
5/5/2015 16:00:00,10.01
5/6/2015 16:00:00,9.78
5/7/2015 16:00:00,9.88
5/8/2015 16:00:00,10.05
5/11/2015 16:00:00,9.94
5/12/2015 16:00:00,9.76
5/13/2015 16:00:00,9.8
5/14/2015 16:00:00,9.79
5/15/2015 16:00:00,10.02
5/18/2015 16:00:00,10.06
5/19/2015 16:00:00,10.08
5/20/2015 16:00:00,10.04
5/21/2015 16:00:00,10.19
5/22/2015 16:00:00,10.2
5/26/2015 16:00:00,10.05
5/27/2015 16:00:00,9.87
5/28/2015 16:00:00,10.23
5/29/2015 16:00:00,10.85
6/1/2015 16:00:00,10.87
6/2/2015 16:00:00,10.99
6/3/2015 16:00:00,10.93
6/4/2015 16:00:00,11.01
6/5/2015 16:00:00,11.04
6/8/2015 16:00:00,10.76
6/9/2015 16:00:00,10.73
6/10/2015 16:00:00,10.71
6/11/2015 16:00:00,10.75
6/12/2015 16:00:00,10.74
6/15/2015 16:00:00,10.63
6/16/2015 16:00:00,10.63
6/17/2015 16:00:00,10.76
6/18/2015 16:00:00,10.8
